ID,LAT,LON,panoId,LAG,HAG,LOWELEV_ST,FFE_ft,DEM_ft,camera_height_m,image_date,elevation_wgs84_m,elevation_egm96_m,pano_lat,pano_lng
384,36.674305,-76.920088,sBtqMrPmE45EcdnaWKNJnA,13.227,,,14.127,14.4126,2.922900915,2018-05,-29.769929,7.195003,36.674196,-76.919769
412,36.675153,-76.926932,hGqjPPlbmxTrFJvNoQDYEQ,21.134,,,25.534,23.1431,2.922163248,2018-05,-26.295448,10.650781,36.675332,-76.927025
413,36.675101,-76.927085,1T5mH3qn7h88GmANQ2Mkxg,19.434,,,24.534,22.2787,2.922953367,2018-05,-26.595507,10.350309,36.675228,-76.927208
414,36.675015,-76.927256,nvE08wDr1B5JHR0cqbZjPw,18.334,,,22.734,20.8191,2.924483299,2018-05,-27.05844,9.886888,36.675119,-76.9274
420,36.67517,-76.927982,2py4aQogGo5O95nDyFrBLQ,19.534,,,21.734,21.7248,2.923537254,2014-06,-26.745043,10.199148,36.675229,-76.927797
423,36.680269,-76.921101,KRhg-C2cQBqqfsqJX7v3Tw,18.814,,,20.614,17.8668,2.927197218,2014-06,-29.940256,7.018343,36.680145,-76.921291
424,36.680048,-76.921396,KRhg-C2cQBqqfsqJX7v3Tw,17.914,,,18.614,17.8668,2.927197218,2014-06,-29.940256,7.018343,36.680145,-76.921291
426,36.679845,-76.921628,RgJXwC34IpTKPiaf6gZ8og,19.414,,,21.514,18.812,2.924479008,2014-06,-29.09017,7.867155,36.680067,-76.921782
428,36.679548,-76.92233,nEh9D_u8JIY7IA6bsp6-wA,18.118,,,18.818,18.6279,2.924240351,2018-05,-28.815284,8.140576,36.679707,-76.922398
429,36.679499,-76.92014,A5ZT9ESer4fJMBqeC81EUw,10.214,,,11.014,10.9202,2.925188303,2018-05,-30.853712,6.108523,36.679363,-76.919967
432,36.679192,-76.92224,JHoWvZTQisVxCY6EfvGXMg,18.118,,,18.618,17.8652,2.971050739,2014-06,-28.951769,8.005144,36.679032,-76.922051
434,36.678745,-76.922236,TbQxlrqZ1ZA46bFPf9LSYg,17.018,,,17.818,17.0796,2.869994164,2018-05,-29.174329,7.782039,36.678694,-76.922376
435,36.678524,-76.922571,XnNL2u47BCG_Z7lVD3lTFg,17.618,,,19.918,17.6512,2.926036358,2014-06,-29.046095,7.909441,36.678656,-76.922727
436,36.678473,-76.922656,RYGi2vesdsJadTUE_tiaPw,17.721,,,20.121,17.5782,2.967764854,2014-06,-28.981095,7.974235,36.678599,-76.922824
452,36.677841,-76.923809,zGsdk2fHexjnk9t_sOOizg,14.121,,,14.421,14.0117,2.901470184,2014-06,-30.295295,6.657536,36.677964,-76.923934
457,36.678634,-76.923796,0ZOQthlKGf1wdnfqoHe5fg,17.621,,,17.721,15.988,2.922369719,2014-06,-29.433143,7.519264,36.678817,-76.923943
463,36.67758,-76.92348,4nTwTjVjq6GAydTUE1Jhzw,15.024,,,15.524,14.9326,2.897398472,2015-10,-29.831825,7.122612,36.677434,-76.923357
470,36.679345,-76.924273,7QpGh7rx0QZT4c6HLfzWsQ,14.018,,,18.418,13.5511,2.923447609,2014-06,-30.150354,6.80078,36.679449,-76.92434
488,36.680542,-76.924209,ebGAiJ5gto8phUpGU2MLwg,18.318,,,20.218,18.2506,2.917728186,2014-06,-29.656052,7.295364,36.680596,-76.924025
489,36.680361,-76.924038,HS0s2MEY11hnnD0_6rJvdQ,17.918,,,20.018,18.0344,2.919873953,2014-06,-29.749192,7.202682,36.680432,-76.92388
490,36.679978,-76.924301,pEcc-z_Pg-o7U4KKZ7Jcbw,14.018,,,15.418,13.9937,2.927322865,2014-06,-31.427886,5.522679,36.679875,-76.924488
512,36.678136,-76.925908,R6D21uMA6mZSrAwyZ-osqQ,20.224,,,23.524,27.1207,2.920784712,2014-06,-25.735243,11.211859,36.677957,-76.926207
514,36.680281,-76.92395,fKSjU5bIPasA6JX1vZYQGg,17.918,,,19.918,17.9687,2.920939207,2014-06,-29.766034,7.186107,36.680345,-76.923804
516,36.680116,-76.924451,A_C86NjHgNKZGu9kAz9YiQ,14.018,,,14.418,13.4912,2.924703598,2014-06,-31.69075,5.259445,36.680021,-76.924618
517,36.680022,-76.926418,Ywr_ojyRen06AfKGHKVD1Q,14.921,,,17.521,14.842,2.898424625,2014-06,-29.051178,7.89489,36.680185,-76.926246
